,rho,mae,rmse,type,embedding,id
141,-0.130266364,0.798247586,1.579350914,non,tp,2
152,0.258577991,0.549638013,0.974096822,non,tp,2
163,0.193275804,0.825297876,1.083891605,non,tp,2
174,0.618623125,0.461138671,0.791904686,non,tp,2
185,0.277392397,0.568931539,0.969048113,non,tp,2
196,0.624805229,0.582070313,0.788551618,non,tp,2
207,0.449841806,0.480793455,0.903104213,non,tp,2
218,0.550453234,0.579258556,0.831008246,non,tp,2
229,0.308962091,0.771330045,0.962620339,non,tp,2
240,0.551549454,0.665305969,0.830805128,non,tp,2
251,0.026988275,0.647214611,0.854629852,non,tp,2
262,0.507876247,0.636086379,0.854470055,non,tp,2
1,0.372535395,0.590419848,0.938874641,non,rh,3
12,0.14255147,0.577629221,1.006248478,non,rh,3
23,0.496522245,0.572825381,0.873471273,non,rh,3
34,0.685669431,0.524502636,0.734600042,non,rh,3
45,0.257634743,0.76509361,0.968757135,non,rh,3
56,0.384889434,0.776524222,0.950516363,non,rh,3
67,0.319638735,0.713972401,0.957392369,non,rh,3
78,0.599334155,0.59594374,0.805271561,non,rh,3
89,0.295846561,0.532613129,0.966581264,non,rh,3
100,0.351757703,0.667723303,0.946110114,non,rh,3
111,0.35153107,0.527552896,0.969685876,non,rh,3
122,0.675579243,0.536334345,0.759122812,non,rh,3
133,0.180159268,0.631417873,1.02392779,non,rh,3
144,0.23900677,0.585947826,0.977549149,non,rh,3
155,0.088558208,0.776353907,0.953019379,non,rh,3
166,0.687994592,0.443351624,0.73294872,non,rh,3
177,0.306406353,0.583673678,0.960532793,non,rh,3
188,0.676684114,0.541092418,0.74227394,non,rh,3
199,0.463425223,0.488536615,0.897465772,non,rh,3
210,0.561157938,0.536267997,0.827227086,non,rh,3
221,0.42009134,0.735641762,0.933287415,non,rh,3
232,0.359360396,0.731288311,0.931489989,non,rh,3
243,0.553618339,0.493847018,0.659154677,non,rh,3
254,0.524245557,0.642159917,0.845533381,non,rh,3
2,0.219138003,0.611211175,0.986800064,non,svpd,4
13,0.737788531,0.441894835,0.683835441,non,svpd,4
24,0.279674584,0.611428061,0.968726625,non,svpd,4
35,0.347989594,0.683064009,0.955581688,non,svpd,4
46,0.635640062,0.575220948,0.773248733,non,svpd,4
57,0.317311661,0.792415701,0.943899394,non,svpd,4
68,0.302596529,0.712267291,0.96289858,non,svpd,4
79,0.527963023,0.646573562,0.854239104,non,svpd,4
90,0.279108844,0.535694209,0.971992845,non,svpd,4
101,0.294938316,0.656010457,0.966847361,non,svpd,4
112,0.370389031,0.565328369,0.936093318,non,svpd,4
123,0.690872344,0.545404926,0.735064758,non,svpd,4
134,0.162884802,0.608032824,1.004669758,non,svpd,4
145,0.362328946,0.59260822,0.94356349,non,svpd,4
156,-0.037494121,0.845600038,1.027021444,non,svpd,4
167,0.57097053,0.559500342,0.827059235,non,svpd,4
178,0.530335561,0.505682878,0.853623976,non,svpd,4
189,0.679101668,0.543201697,0.739946253,non,svpd,4
200,0.275508766,0.494602022,0.970546714,non,svpd,4
211,0.659817368,0.522087289,0.748133085,non,svpd,4
222,0.392153815,0.742747858,0.943854334,non,svpd,4
233,0.514303616,0.666357861,0.858690347,non,svpd,4
244,0.341088344,0.529047703,0.751758849,non,svpd,4
255,0.46920259,0.677663832,0.87881599,non,svpd,4
6,0.278877904,0.617586484,0.973204476,non,t2m+tp,5
17,0.554714478,0.512893938,0.851248106,non,t2m+tp,5
28,0.464153938,0.568191227,0.890558754,non,t2m+tp,5
39,0.570984629,0.562959862,0.825694602,non,t2m+tp,5
50,0.673706487,0.556644654,0.748249246,non,t2m+tp,5
61,0.411644831,0.773000153,0.902790281,non,t2m+tp,5
72,0.541947306,0.60663961,0.8475487,non,t2m+tp,5
83,0.513244077,0.629080548,0.865722106,non,t2m+tp,5
94,0.367228308,0.529680183,0.964717502,non,t2m+tp,5
105,0.399123417,0.662283106,0.929848635,non,t2m+tp,5
116,0.303440761,0.609086475,0.965947384,non,t2m+tp,5
127,0.371401127,0.667180693,0.984168853,non,t2m+tp,5
138,-0.024652627,0.637676776,1.052530841,non,t2m+tp,5
149,0.387274116,0.569943535,0.927475869,non,t2m+tp,5
160,-0.082062881,1.130211093,1.351678671,non,t2m+tp,5
